python full_graph.py --dataset-root /home/ksadowski/datasets/ --dataset ogbn-products --lr 0.021542537754776225 --hidden-feats 256 --num-layers 4 --aggregator-type mean --batch-norm --input-dropout 0.1 --dropout 0.3 --activation relu --test-validation
Epoch: 072 Train Loss: 0.32 Valid Loss: 0.36 Train Score: 0.9110 Valid Score: 0.9041 Train Epoch Time: 48.22 Valid Epoch Time: 14.65
Epoch: 073 Train Loss: 0.32 Valid Loss: 0.35 Train Score: 0.9116 Valid Score: 0.9043 Train Epoch Time: 48.04 Valid Epoch Time: 14.74
Epoch: 074 Train Loss: 0.32 Valid Loss: 0.35 Train Score: 0.9119 Valid Score: 0.9044 Train Epoch Time: 48.10 Valid Epoch Time: 14.71
Epoch: 075 Train Loss: 0.32 Valid Loss: 0.35 Train Score: 0.9117 Valid Score: 0.9045 Train Epoch Time: 48.06 Valid Epoch Time: 14.65
Epoch: 076 Train Loss: 0.31 Valid Loss: 0.35 Train Score: 0.9126 Valid Score: 0.9047 Train Epoch Time: 48.05 Valid Epoch Time: 14.69
Epoch: 077 Train Loss: 0.31 Valid Loss: 0.35 Train Score: 0.9129 Valid Score: 0.9053 Train Epoch Time: 47.97 Valid Epoch Time: 14.68
Epoch: 078 Train Loss: 0.31 Valid Loss: 0.35 Train Score: 0.9138 Valid Score: 0.9056 Train Epoch Time: 48.01 Valid Epoch Time: 14.70
Epoch: 079 Train Loss: 0.31 Valid Loss: 0.35 Train Score: 0.9140 Valid Score: 0.9056 Train Epoch Time: 48.03 Valid Epoch Time: 14.63
Epoch: 080 Train Loss: 0.31 Valid Loss: 0.35 Train Score: 0.9146 Valid Score: 0.9062 Train Epoch Time: 48.05 Valid Epoch Time: 14.64
Epoch: 081 Train Loss: 0.31 Valid Loss: 0.35 Train Score: 0.9135 Valid Score: 0.9071 Train Epoch Time: 48.09 Valid Epoch Time: 14.66
Epoch: 082 Train Loss: 0.30 Valid Loss: 0.34 Train Score: 0.9153 Valid Score: 0.9069 Train Epoch Time: 48.07 Valid Epoch Time: 14.64
Epoch: 083 Train Loss: 0.30 Valid Loss: 0.34 Train Score: 0.9150 Valid Score: 0.9072 Train Epoch Time: 48.00 Valid Epoch Time: 14.62
Epoch: 084 Train Loss: 0.30 Valid Loss: 0.34 Train Score: 0.9154 Valid Score: 0.9078 Train Epoch Time: 47.96 Valid Epoch Time: 14.66
Epoch: 085 Train Loss: 0.30 Valid Loss: 0.34 Train Score: 0.9158 Valid Score: 0.9078 Train Epoch Time: 48.03 Valid Epoch Time: 14.83
Epoch: 086 Train Loss: 0.30 Valid Loss: 0.34 Train Score: 0.9160 Valid Score: 0.9082 Train Epoch Time: 48.02 Valid Epoch Time: 14.65
Epoch: 087 Train Loss: 0.30 Valid Loss: 0.34 Train Score: 0.9160 Valid Score: 0.9083 Train Epoch Time: 48.09 Valid Epoch Time: 14.70
Epoch: 088 Train Loss: 0.30 Valid Loss: 0.34 Train Score: 0.9174 Valid Score: 0.9091 Train Epoch Time: 48.08 Valid Epoch Time: 14.73
Epoch: 089 Train Loss: 0.29 Valid Loss: 0.34 Train Score: 0.9179 Valid Score: 0.9096 Train Epoch Time: 48.12 Valid Epoch Time: 14.72
Epoch: 090 Train Loss: 0.29 Valid Loss: 0.34 Train Score: 0.9179 Valid Score: 0.9099 Train Epoch Time: 48.05 Valid Epoch Time: 14.68
Epoch: 091 Train Loss: 0.29 Valid Loss: 0.34 Train Score: 0.9181 Valid Score: 0.9093 Train Epoch Time: 48.03 Valid Epoch Time: 14.67
Epoch: 092 Train Loss: 0.29 Valid Loss: 0.33 Train Score: 0.9182 Valid Score: 0.9093 Train Epoch Time: 48.00 Valid Epoch Time: 14.70
Epoch: 093 Train Loss: 0.29 Valid Loss: 0.33 Train Score: 0.9186 Valid Score: 0.9104 Train Epoch Time: 48.17 Valid Epoch Time: 14.70
Epoch: 094 Train Loss: 0.29 Valid Loss: 0.33 Train Score: 0.9193 Valid Score: 0.9113 Train Epoch Time: 48.06 Valid Epoch Time: 14.70
Epoch: 095 Train Loss: 0.29 Valid Loss: 0.33 Train Score: 0.9200 Valid Score: 0.9114 Train Epoch Time: 48.07 Valid Epoch Time: 14.67
Epoch: 096 Train Loss: 0.29 Valid Loss: 0.33 Train Score: 0.9200 Valid Score: 0.9115 Train Epoch Time: 48.01 Valid Epoch Time: 14.67
Epoch: 097 Train Loss: 0.28 Valid Loss: 0.33 Train Score: 0.9206 Valid Score: 0.9119 Train Epoch Time: 48.00 Valid Epoch Time: 14.67
Epoch: 098 Train Loss: 0.28 Valid Loss: 0.33 Train Score: 0.9204 Valid Score: 0.9118 Train Epoch Time: 48.04 Valid Epoch Time: 14.66
Epoch: 099 Train Loss: 0.28 Valid Loss: 0.33 Train Score: 0.9209 Valid Score: 0.9124 Train Epoch Time: 48.05 Valid Epoch Time: 14.68
Epoch: 100 Train Loss: 0.28 Valid Loss: 0.33 Train Score: 0.9215 Valid Score: 0.9124 Train Epoch Time: 48.19 Valid Epoch Time: 14.68
Epoch: 101 Train Loss: 0.28 Valid Loss: 0.33 Train Score: 0.9218 Valid Score: 0.9133 Train Epoch Time: 47.99 Valid Epoch Time: 14.70
Epoch: 102 Train Loss: 0.28 Valid Loss: 0.32 Train Score: 0.9220 Valid Score: 0.9139 Train Epoch Time: 48.04 Valid Epoch Time: 14.70
Epoch: 103 Train Loss: 0.28 Valid Loss: 0.32 Train Score: 0.9224 Valid Score: 0.9139 Train Epoch Time: 48.07 Valid Epoch Time: 14.68
Epoch: 104 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9225 Valid Score: 0.9136 Train Epoch Time: 48.05 Valid Epoch Time: 14.68
Epoch: 105 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9226 Valid Score: 0.9138 Train Epoch Time: 48.14 Valid Epoch Time: 14.75
Epoch: 106 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9229 Valid Score: 0.9132 Train Epoch Time: 48.05 Valid Epoch Time: 14.70
Epoch: 107 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9239 Valid Score: 0.9136 Train Epoch Time: 47.99 Valid Epoch Time: 14.67
Epoch: 108 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9238 Valid Score: 0.9135 Train Epoch Time: 48.05 Valid Epoch Time: 14.68
Epoch: 109 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9248 Valid Score: 0.9141 Train Epoch Time: 47.98 Valid Epoch Time: 14.69
Epoch: 110 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9249 Valid Score: 0.9145 Train Epoch Time: 48.10 Valid Epoch Time: 14.74
Epoch: 111 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9248 Valid Score: 0.9152 Train Epoch Time: 48.10 Valid Epoch Time: 14.68
Epoch: 112 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9248 Valid Score: 0.9155 Train Epoch Time: 48.07 Valid Epoch Time: 14.75
Epoch: 113 Train Loss: 0.27 Valid Loss: 0.32 Train Score: 0.9245 Valid Score: 0.9153 Train Epoch Time: 47.99 Valid Epoch Time: 14.68
Epoch: 114 Train Loss: 0.26 Valid Loss: 0.32 Train Score: 0.9253 Valid Score: 0.9154 Train Epoch Time: 48.04 Valid Epoch Time: 14.69
Epoch: 115 Train Loss: 0.26 Valid Loss: 0.32 Train Score: 0.9253 Valid Score: 0.9163 Train Epoch Time: 48.03 Valid Epoch Time: 14.68
Epoch: 116 Train Loss: 0.26 Valid Loss: 0.31 Train Score: 0.9258 Valid Score: 0.9162 Train Epoch Time: 48.05 Valid Epoch Time: 14.68
Epoch: 117 Train Loss: 0.26 Valid Loss: 0.31 Train Score: 0.9260 Valid Score: 0.9165 Train Epoch Time: 48.10 Valid Epoch Time: 14.76
